#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-29T23:08:58 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-29T23:08:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAJ%2F152%2F50&-out.all&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_AJ_152_50_table2:
#Name: J/AJ/152/50/table2
#Title: Summary group properties
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Nest	(I6)	[100001/400002]? 2MASS "nest" group identification (Tully 2015, Cat. J/AJ/149/171)	[ucd=meta.id]
#Column	o_<DM>	(I3)	[1/161] Number of galaxies in group with distance measures (N_d_^gp^)	[ucd=meta.number]
#Column	<DM>	(F5.2)	[18.4/38.5] Weighted average group distance modulus (<{mu}>^gp^)	[ucd=phot.mag.distMod]
#Column	e_<DM>	(F5.2)	[0.02/0.54] One standard deviation uncertainty in <DM> ({epsilon}_{mu}_^gp^)	[ucd=stat.error]
#Column	<Dist>	(F5.1)	[0/494.3] Luminosity distance to group; weighted average of distance moduli	[ucd=pos.distance;pos.heliocentric]
#Column	Abell	(A5)	Abell Cluster identification (ASxxx are from the southern supplement list)	[ucd=meta.id]
#Column	GName	(a9)	Alternative name for group or cluster	[ucd=meta.id]
#Column	Npv	(I3)	[1/197] Number of galaxies in group with positions and velocities in the 2MRS catalog (Huchra et al. 2012, Cat. J/ApJS/199/26) (N_v_)	[ucd=meta.number]
#Column	PGC1	(I7)	[14/9003164] Principal Galaxies Catalog identifier of brightest group member	[ucd=meta.id.assoc]
#Column	GLON	(F6.2)	Group Galactic longitude (Glon^gp^)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Group Galactic latitude (Glat^gp^)	[ucd=pos.galactic.lat]
#Column	SGLON	(F8.4)	Group Supergalactic longitude (SGL^gp^) (G1)	[ucd=pos.supergalactic.lon]
#Column	SGLAT	(F8.4)	Group Supergalactic latitude (SGB^gp^) (G1)	[ucd=pos.supergalactic.lat]
#Column	logLKs	(F5.2)	[0/14.43] Log summed Ks luminosity of group (LogL^gp^) (G2)	[ucd=phys.luminosity;em.IR.K]
#Column	CF	(F6.2)	[0/118.1] Luminosity selection function correction factor (cf)	[ucd=arith.factor]
#Column	sigP	(I4)	[0/2303] Projected velocity dispersion ({sigma}_p_) (G3)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F7.4)	[0/84] Projected second turnaround radius (R_2t_) (G4)	[ucd=phys.size.radius]
#Column	<HV>	(I5)	[-376/29980] Group heliocentric velocity (V_h_^gp^)	[ucd=phys.veloc;pos.heliocentric]
#Column	<Vgsr>	(I5)	[-189/29883] Group velocity in Galactic standard of rest (V_gsr_^gp^) (G5)	[ucd=phys.veloc;pos.galactocentric]
#Column	<Vls>	(I5)	[-158/29882] Group velocity in Local Sheet standard of rest (Tully et al. 2008, Cat. J/ApJ/676/184) (V_ls_^gp^)	[ucd=phys.veloc;pos.lsr]
#Column	<Vcmb>	(I5)	[-669/29820] Group velocity in CMB standard of rest (Fixsen et al. 1996ApJ...473..576F) (V_cmb_^gp^)	[ucd=phys.veloc;pos.cmb]
#Column	<Vcmba>	(I5)	[-668/32110] Group velocity in CMB standard of rest, adjusted (V_mod_^gp^) (G6)	[ucd=phys.veloc;pos.cmb]
#Column	sigma	(I4)	[0/2401]? RMS group velocity dispersion (V_rms_)	[ucd=stat.stdev;phys.veloc.dispersion;pos.lg]
#Column	Mvir	(F9.3)	[0/29467] Group mass from virial theorem (M_12_^bw^) (G7)	[ucd=phys.mass]
#Column	Mlum	(F10.4)	[0/24401] Group mass from luminosity (M_12_^L^) (G8)	[ucd=phys.mass]
#Column	LDC	(I4)	[3/1538]? Low density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	HDC	(I4)	[2/1258]? High density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	2M++	(I4)	[0/4715]? Group identifier from 2MASS++ catalog (Lavaux & Hudson 2011, Cat. J/MNRAS/416/2840)	[ucd=meta.id]
#Column	MK2011	(I7)	[0/5067059] Group identifier from MK2011 catalog (Makarov & Karachentsev 2011, Cat. J/MNRAS/412/2498) (M&K)	[ucd=meta.id;meta.main]
#Column	Icnt	(I4)	[0/2941]? Internal reference identifier	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Nest	o_<DM>	<DM>	e_<DM>	<Dist>	Abell	GName	Npv	PGC1	GLON	GLAT	SGLON	SGLAT	logLKs	CF	sigP	R2t	<HV>	<Vgsr>	<Vls>	<Vcmb>	<Vcmba>	sigma	Mvir	Mlum	LDC	HDC	2M++	MK2011	Icnt	Simbad	_RA.icrs	_DE.icrs
    1183	   7854	LEDA	 98.17	H            	1	34.96	 0.40	34.96	 0.40	       	 	     	     	     	     	     	    	02 03 49.4	-52 26 51	279.7180	-61.2951	245.6303	-22.8405	 5.0	 0.055	15.30	     	 6312	 6188	 6167	 6183	 6285	ESO153-012	202730	  2	34.70	 0.28	 87.1	     	         	  2	   7903	279.34	-61.28	245.7192	-23.0063	11.74	  1.39	 246	 0.667	 5932	 5808	 5787	 5804	 5893	  27	         	   29.600	 154	 119	3932	       	    	  0	  1	  0	  0	  1	2M	LEDA    7854
    1184	   7865	LEDA	 69.82	H            	1	34.22	 0.40	34.22	 0.40	       	 	     	     	     	     	     	    	02 03 56.8	-23 18 44	203.8301	-73.1799	277.1431	-21.6568	 4.0	 0.067	14.17	10.20	 4966	 4927	 4943	 4736	 4796	NGC0808   	209868	  1	34.22	 0.40	 69.8	     	         	  1	   7865	203.83	-73.18	277.1433	-21.6562	10.96	  1.21	 123	 0.335	 4966	 4927	 4943	 4736	 4796	   0	         	    3.760	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    7865
    1185	   7875	LEDA	 60.26	H            	1	33.90	 0.40	33.90	 0.40	       	 	     	     	     	     	     	    	02 04 04.9	+02 47 12	156.1164	-55.3340	304.0391	-15.7969	 4.0	 0.113	14.47	10.97	 6317	 6363	 6410	 6046	 6142	IC0197    	202609	  3	34.70	 0.23	 87.1	     	         	  2	   7812	155.98	-55.50	303.8972	-15.6899	11.35	  1.41	 174	 0.473	 6360	 6406	 6453	 6088	 6186	  40	         	   10.560	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    7875
    1186	   7889	LEDA	 75.16	N            	1	34.38	 0.17	     	     	2006ef 	2	34.38	     	     	     	     	    	02 04 19.0	-08 44 07	169.4638	-64.7980	292.4186	-18.9331	-1.8	 0.087	14.60	10.66	 5370	 5378	 5413	 5111	 5180	NGC0809   	210341	  1	34.38	 0.17	 75.2	     	         	  1	   7889	169.46	-64.80	292.4186	-18.9330	10.86	  1.25	 113	 0.307	 5370	 5378	 5413	 5111	 5180	   0	         	    2.880	 136	    	    	       	    	  0	  2	  1	  0	  1	2M	LEDA    7889
    1187	   7900	LEDA	 18.54	I            	1	31.34	 0.54	     	     	       	 	     	31.34	 0.54	     	     	    	02 04 31.4	-06 11 56	165.9220	-62.7996	295.0278	-18.3642	 9.0	 0.096	14.59	     	 1363	 1380	 1417	 1101	 1104	PGC007900 	211728	  2	31.48	 0.26	 19.7	     	         	  1	   7544	165.92	-62.80	294.9501	-17.1471	10.42	  1.00	  77	 0.208	 1363	 1380	 1417	 1101	 1104	   0	         	    0.899	 119	    	    	5065992	    	  0	  2	  1	  0	  0	2M	LEDA    7900
    1188	   7933	LEDA	169.04	H,I          	2	36.14	 0.30	36.18	 0.40	       	 	     	36.10	 0.45	     	     	    	02 04 55.5	+43 09 18	136.8995	-17.7147	342.3387	 -1.4738	 6.3	 0.282	15.86	10.94	 9015	 9168	 9242	 8788	 8992	UGC001567 	202836	  1	36.14	 0.30	169.0	     	         	  2	   7933	136.84	-17.80	342.2552	 -1.4261	11.68	  2.06	 233	 0.633	 9035	 9188	 9262	 8808	 9011	  18	         	   25.333	    	    	    	       	    	  0	  0	  0	  0	  1	2M	LEDA    7933
    1189	   7951	LEDA	 95.94	H            	1	34.91	 0.40	34.91	 0.40	       	 	     	     	     	     	     	    	02 05 14.0	+09 55 31	151.2092	-48.8525	311.1492	-13.8470	 3.3	 0.264	14.94	10.39	 7788	 7856	 7909	 7516	 7665	UGC01580  	207194	  1	34.91	 0.40	 95.9	     	         	  1	   7951	151.21	-48.85	311.1492	-13.8470	11.46	  1.70	 192	 0.521	 7788	 7856	 7909	 7516	 7665	   0	         	   14.133	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    7951
    1190	   7953	LEDA	 89.13	H            	1	34.75	 0.40	34.75	 0.40	       	 	     	     	     	     	     	    	02 05 15.3	+37 38 01	138.7307	-22.9628	337.2839	 -3.7084	 5.9	 0.182	16.25	     	 5181	 5323	 5395	 4941	 5006	UGC01574  	      	  1	34.75	 0.40	 89.1	     	         	  1	   7953	138.73	-22.96	337.2839	 -3.7084	     	      	    	      	 5181	 5323	 5395	 4941	 5006	    	         	         	    	    	4351	       	2044	  0	  0	  1	  0	  1	2M	LEDA    7953
    1191	   7957	LEDA	 85.51	H,I          	2	34.66	 0.30	34.70	 0.40	       	 	     	34.61	 0.45	     	     	    	02 05 17.1	+34 47 19	139.7027	-25.6666	334.6605	 -4.8267	 3.0	 0.330	15.46	11.59	 4416	 4552	 4622	 4170	 4216	AGC120016 	205940	  2	35.04	 0.24	101.8	     	         	  1	   7957	139.70	-25.67	334.6606	 -4.8267	11.72	  3.48	 242	 0.656	 4416	 4552	 4622	 4170	 4216	   0	         	   28.133	    	    	    	       	    	  0	  0	  0	  0	  1	2M	LEDA    7957
    1192	   7960	LEDA	 55.46	H            	1	33.72	 0.40	33.72	 0.40	       	 	     	     	     	     	     	    	02 05 14.9	+30 00 17	141.4229	-30.2028	330.2221	 -6.6665	 6.5	 0.231	17.02	     	 5235	 5359	 5427	 4980	 5046	UGC01576  	200262	  1	33.72	 0.40	 55.5	     	         	  7	   8013	141.76	-30.72	329.7213	 -6.9904	11.82	  1.18	 264	 0.716	 4844	 4967	 5035	 4589	 4645	 196	   47.733	   36.667	 127	 121	    	       	    	  0	  0	  0	  0	  1	2M	LEDA    7960
    1193	   7963	LEDA	115.88	H            	1	35.32	 0.40	35.32	 0.40	       	 	     	     	     	     	     	    	02 05 21.0	+08 31 34	152.1834	-50.1006	309.7938	-14.3269	 2.0	 0.316	15.85	     	 5751	 5814	 5867	 5479	 5559	AGC120020 	      	  1	35.32	 0.40	115.9	     	         	  1	   7963	152.18	-50.10	309.7938	-14.3269	     	      	    	      	 5751	 5814	 5867	 5479	 5559	    	         	         	    	    	    	       	    	  0	  0	  0	  0	  1	2M	LEDA    7963
    1194	   7966	LEDA	 88.31	H            	1	34.73	 0.40	34.73	 0.40	       	 	     	     	     	     	     	    	02 05 26.7	+13 19 38	149.1902	-45.7374	314.4637	-12.7639	 5.6	 0.368	15.86	     	 7528	 7606	 7663	 7257	 7396	UGC01584  	205702	  2	34.94	 0.28	 97.3	     	         	  1	   7965	149.19	-45.74	314.3932	-12.7968	11.77	  1.70	 252	 0.685	 7528	 7606	 7663	 7257	 7396	   0	         	   32.133	    	    	    	       	    	  0	  0	  0	  0	  1	2M	LEDA    7966
    1195	   7972	LEDA	 65.77	H,I          	2	34.09	 0.30	34.17	 0.40	       	 	     	33.99	 0.45	     	     	    	02 05 33.7	+34 52 51	139.7304	-25.5612	334.7680	 -4.8430	 7.2	 0.331	15.33	10.58	 4421	 4557	 4627	 4176	 4222	UGC01581  	210950	  1	34.09	 0.30	 65.8	     	         	  1	   7972	139.73	-25.56	334.7680	 -4.8430	10.71	  1.13	  99	 0.268	 4421	 4557	 4627	 4176	 4222	   0	         	    1.933	    	    	    	       	2044	  0	  0	  1	  0	  1	2M	LEDA    7972
    1196	   7986	LEDA	 94.62	H            	1	34.88	 0.40	34.88	 0.40	       	 	     	     	     	     	     	    	02 05 43.0	-71 06 56	294.5801	-44.7895	225.6778	-20.5354	 4.0	 0.131	14.54	11.40	 8146	 7982	 7939	 8102	 8275	ESO052-020	202974	  1	34.88	 0.40	 94.6	     	         	  2	   7986	294.58	-44.78	225.6684	-20.5421	11.46	  1.93	 192	 0.521	 8147	 7983	 7940	 8103	 8275	   4	         	   14.133	    	    	    	       	    	  0	  1	  1	  0	  1	2M	LEDA    7986
    1197	   8011	LEDA	111.17	H            	1	35.23	 0.40	35.23	 0.40	       	 	     	     	     	     	     	    	02 06 03.1	+09 17 43	151.9031	-49.3330	310.6031	-14.2428	 3.5	 0.273	14.91	11.20	 9247	 9312	 9365	 8976	 9188	UGC01592  	201274	  3	35.37	 0.23	118.8	     	         	  3	   8026	152.14	-49.34	310.5855	-14.3973	11.91	  2.13	 286	 0.776	 9209	 9273	 9326	 8938	 9148	  79	         	   46.533	 147	 122	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8011
    1198	   8014	LEDA	107.15	H            	1	35.15	 0.40	35.15	 0.40	       	 	     	     	     	     	     	    	02 06 06.0	+13 17 07	149.4233	-45.7110	314.4787	-12.9281	 5.3	 0.345	15.47	     	 7455	 7532	 7589	 7185	 7321	UGC01593  	205702	  2	34.94	 0.28	 97.3	     	         	  1	   7965	149.42	-45.71	314.3932	-12.7968	11.77	  1.70	 252	 0.685	 7455	 7532	 7589	 7185	 7321	   0	         	   32.133	    	    	    	       	    	  0	  0	  0	  0	  1	2M	LEDA    8014
    1199	   8016	LEDA	316.23	P            	1	37.50	 0.50	     	     	       	 	     	     	     	37.50	 0.50	 2.8	02 06 19.3	-02 21 23	162.0107	-59.4219	299.0530	-17.7930	 1.2	 0.095	15.79	     	11611	11639	11680	11346	11685	          	      	  1	37.50	 0.50	316.2	     	         	  1	   8016	162.01	-59.42	299.0530	-17.7930	     	      	    	      	11611	11639	11680	11346	11685	    	         	         	    	    	    	       	    	  1	  2	  0	  0	  0	2M	LEDA    8016
    1200	   8026	LEDA	127.06	H            	1	35.52	 0.40	35.52	 0.40	       	 	     	     	     	     	     	    	02 06 19.4	+09 13 38	152.0413	-49.3650	310.5590	-14.3282	 2.0	 0.286	15.26	11.13	 9226	 9291	 9344	 8955	 9167	UGC01594  	201274	  3	35.37	 0.23	118.8	     	         	  3	   8026	152.14	-49.34	310.5855	-14.3973	11.91	  2.13	 286	 0.776	 9209	 9273	 9326	 8938	 9148	  79	         	   46.533	 147	 122	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8026
    1201	   8028	LEDA	 58.61	H            	1	33.84	 0.40	33.84	 0.40	       	 	     	     	     	     	     	    	02 06 16.4	-41 31 23	260.9246	-68.9708	257.5018	-23.5768	 6.3	 0.059	14.60	11.95	 5385	 5289	 5282	 5215	 5287	ESO298-008	201362	  1	33.84	 0.40	 58.6	     	         	  3	   8055	260.60	-69.16	257.7321	-23.4930	11.29	  1.27	 165	 0.448	 5298	 5202	 5195	 5127	 5196	  34	         	    9.000	    	    	3941	       	    	  0	  2	  1	  0	  1	2M	LEDA    8028
    1202	   8031	LEDA	 77.27	H            	1	34.44	 0.40	34.44	 0.40	       	 	     	     	     	     	     	    	02 06 20.8	-52 01 41	278.5523	-61.4086	246.0564	-23.2546	 5.2	 0.070	15.34	12.39	 5884	 5760	 5739	 5755	 5843	ESO197-024	202730	  2	34.70	 0.28	 87.1	     	         	  2	   7903	279.34	-61.28	245.7192	-23.0063	11.74	  1.39	 246	 0.667	 5932	 5808	 5787	 5804	 5893	  27	         	   29.600	 154	 119	3932	       	    	  0	  1	  1	  0	  1	2M	LEDA    8031
    1203	   8035	LEDA	 74.47	H            	1	34.36	 0.40	34.36	 0.40	       	 	     	     	     	     	     	    	02 06 27.2	+27 01 59	142.8780	-32.9163	327.5531	 -8.0424	 5.8	 0.213	15.43	     	 4966	 5082	 5148	 4708	 4767	UGC01595  	      	  1	34.36	 0.40	 74.5	     	         	  1	   8035	142.88	-32.92	327.5531	 -8.0424	     	      	    	      	 4966	 5082	 5148	 4708	 4767	    	         	         	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8035
    1204	   8049	LEDA	149.28	H            	1	35.87	 0.40	35.87	 0.40	       	 	     	     	     	     	     	    	02 06 36.6	-31 46 40	233.3095	-73.0136	268.1151	-23.2091	 3.0	 0.067	15.08	11.40	10655	10587	10593	10452	10740	ESO414-031	206462	  1	35.87	 0.40	149.3	     	         	  1	   8049	233.31	-73.01	268.1149	-23.2090	11.61	  2.84	 219	 0.596	10655	10587	10593	10452	10740	   0	         	   21.067	    	    	    	       	    	  0	  3	  1	  0	  1	2M	LEDA    8049
    1205	   8056	LEDA	117.49	H            	1	35.35	 0.40	35.35	 0.40	       	 	     	     	     	     	     	    	02 06 36.8	+01 30 56	158.2193	-56.1174	302.9661	-16.7742	 6.5	 0.099	16.39	     	 6814	 6854	 6900	 6546	 6660	UGC01600  	      	  1	35.35	 0.40	117.5	     	         	  1	   8056	158.22	-56.12	302.9661	-16.7742	     	      	    	      	 6814	 6854	 6900	 6546	 6660	    	         	         	    	    	    	       	    	  0	  0	  0	  0	  1	2M	LEDA    8056
    1206	   8066	LEDA	 53.46	H,I          	2	33.64	 0.30	33.61	 0.40	       	 	     	33.68	 0.45	     	     	    	02 06 51.6	+44 34 17	136.8076	-16.2580	343.7778	 -1.2292	 5.9	 0.277	12.58	 9.75	 5161	 5316	 5390	 4940	 5004	UGC01598  	202902	  1	33.64	 0.30	 53.5	     	         	  2	   8066	136.81	-16.30	343.7455	 -1.2335	11.30	  1.22	 167	 0.452	 5171	 5326	 5399	 4949	 5014	  11	         	    9.240	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8066
    1207	   8078	LEDA	 69.18	H            	1	34.20	 0.40	34.20	 0.40	       	 	     	     	     	     	     	    	02 07 08.3	+42 57 56	137.3640	-17.7745	342.3262	 -1.9201	 4.0	 0.272	15.64	     	 5588	 5740	 5813	 5363	 5439	UGC01601  	210970	  1	34.20	 0.40	 69.2	     	         	  1	   8177	137.36	-17.77	342.4762	 -2.1568	10.70	  1.27	  98	 0.267	 5588	 5740	 5813	 5363	 5439	   0	         	    1.893	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8078
    1208	   8079	LEDA	125.31	H            	1	35.49	 0.40	35.49	 0.40	       	 	     	     	     	     	     	    	02 07 12.3	+08 58 40	152.5110	-49.4925	310.3884	-14.6151	 6.6	 0.345	16.48	     	 8025	 8088	 8141	 7755	 7914	UGC01606  	      	  1	35.49	 0.40	125.3	     	         	  1	   8079	152.51	-49.49	310.3884	-14.6151	     	      	    	      	 8025	 8088	 8141	 7755	 7914	    	         	         	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8079
    1209	   8082	LEDA	 60.81	I            	1	33.92	 0.54	     	     	       	 	     	33.92	 0.54	     	     	    	02 07 21.6	+43 46 23	137.1478	-16.9929	343.0819	 -1.6323	 7.6	 0.287	16.25	     	 5489	 5642	 5716	 5266	 5339	UGC01602  	      	  1	33.92	 0.54	 60.8	     	         	  1	   8082	137.15	-16.99	343.0819	 -1.6323	     	      	    	      	 5489	 5642	 5716	 5266	 5339	    	         	         	    	    	    	       	    	  0	  0	  0	  0	  0	2M	LEDA    8082
    1210	   8094	LEDA	169.82	P            	1	36.15	 0.50	     	     	       	 	     	     	     	36.15	 0.50	 2.7	02 07 29.4	-35 09 03	243.9081	-71.8996	264.4610	-23.6191	-1.0	 0.057	15.56	     	 9601	 9523	 9524	 9410	 9643	          	      	  1	36.15	 0.50	169.8	     	         	  1	   8094	243.91	-71.90	264.4610	-23.6191	     	      	    	      	 9601	 9523	 9524	 9410	 9643	    	         	         	    	    	    	       	    	  1	  2	  0	  0	  0	2M	LEDA    8094
    1211	   8101	LEDA	118.58	H            	1	35.37	 0.40	35.37	 0.40	       	 	     	     	     	     	     	    	02 07 28.6	+09 10 06	152.4734	-49.2922	310.5969	-14.6168	 3.1	 0.378	15.31	11.13	 9122	 9186	 9239	 8853	 9059	UGC01610  	201274	  3	35.37	 0.23	118.8	     	         	  3	   8026	152.14	-49.34	310.5855	-14.3973	11.91	  2.13	 286	 0.776	 9209	 9273	 9326	 8938	 9148	  79	         	   46.533	 147	 122	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8101
    1212	   8119	LEDA	132.43	H            	1	35.61	 0.40	35.61	 0.40	       	 	     	     	     	     	     	    	02 07 42.6	-65 55 40	291.1132	-49.4133	231.1008	-21.6953	 2.7	 0.124	15.27	11.25	 8078	 7923	 7886	 8011	 8180	ESO081-003	208790	  1	35.61	 0.40	132.4	     	         	  1	   8119	291.11	-49.41	231.1008	-21.6953	11.17	  1.90	 149	 0.404	 8078	 7923	 7886	 8011	 8180	   0	         	    6.547	    	    	    	       	    	  0	  1	  0	  0	  1	2M	LEDA    8119
    1213	   8132	LEDA	 95.50	H            	1	34.90	 0.40	34.90	 0.40	       	 	     	     	     	     	     	    	02 07 55.9	+43 35 19	137.3096	-17.1371	342.9549	 -1.8014	 5.3	 0.256	15.84	     	 8473	 8626	 8699	 8250	 8429	UGC01612  	      	  1	34.90	 0.40	 95.5	     	         	  1	   8132	137.31	-17.14	342.9549	 -1.8014	     	      	    	      	 8473	 8626	 8699	 8250	 8429	    	         	         	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8132
    1214	   8146	LEDA	 62.81	H            	1	33.99	 0.40	33.99	 0.40	       	 	     	     	     	     	     	    	02 08 04.0	+28 19 55	142.7502	-31.5736	328.9029	 -7.8764	 4.0	 0.271	15.43	11.10	 4945	 5063	 5130	 4690	 4749	UGC01625  	211282	  1	33.99	 0.40	 62.8	     	         	  1	   8146	142.75	-31.57	328.9029	 -7.8763	10.61	  1.19	  91	 0.247	 4945	 5063	 5130	 4690	 4749	   0	         	    1.493	 127	    	    	       	    	  0	  0	  0	  0	  1	2M	LEDA    8146
    1215	   8159	LEDA	140.60	H            	1	35.74	 0.40	35.74	 0.40	       	 	     	     	     	     	     	    	02 08 20.7	-24 32 50	208.7519	-72.5217	275.9715	-22.8237	 4.3	 0.064	14.82	11.61	 9636	 9590	 9605	 9414	 9647	ESO478-005	208030	  1	35.74	 0.40	140.6	     	         	  1	   8159	208.75	-72.52	275.9714	-22.8239	11.30	  2.34	 167	 0.452	 9636	 9590	 9605	 9414	 9647	   0	         	    9.240	    	    	    	       	    	  0	  0	  0	  0	  1	2M	LEDA    8159
    1216	   8160	LEDA	 23.23	S            	1	31.83	 0.28	31.83	 0.28	       	 	     	     	     	     	     	    	02 08 21.1	+10 59 42	151.5553	-47.5567	312.4508	-14.2178	-4.8	 0.400	11.76	 7.95	 1753	 1822	 1876	 1485	 1491	N0821     	210774	  1	31.83	 0.28	 23.2	     	         	  1	   8160	151.56	-47.56	312.4508	-14.2179	10.76	  1.00	 103	 0.281	 1753	 1822	 1876	 1485	 1491	   0	         	    2.213	    	    	    	5065993	 926	  0	  0	  1	  1	  1	2M	LEDA    8160
    1217	   8165	LEDA	 65.46	H,I          	2	34.08	 0.30	34.08	 0.40	       	 	     	34.09	 0.45	     	     	    	02 08 25.0	+14 20 58	149.5327	-44.5098	315.7026	-13.0914	 2.9	 0.234	13.77	 9.81	 4418	 4497	 4554	 4151	 4196	UGC01629  	209737	  1	34.08	 0.30	 65.5	     	         	  1	   8165	149.53	-44.51	315.7028	-13.0913	10.99	  1.14	 127	 0.344	 4418	 4497	 4554	 4151	 4196	   0	         	    4.067	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8165
    1218	   8167	LEDA	 38.02	H            	1	32.90	 0.40	32.90	 0.40	       	 	     	     	     	     	     	    	02 08 27.7	+06 23 41	154.8131	-51.6452	307.9552	-15.7359	 3.6	 0.197	14.66	11.19	 3518	 3572	 3623	 3250	 3278	IC0208    	202241	  3	33.97	 0.21	 62.2	     	         	  2	   8173	154.87	-51.69	307.9114	-15.7637	10.86	  1.06	 113	 0.307	 3460	 3515	 3565	 3193	 3220	  91	         	    2.880	 149	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8167
    1219	   8171	LEDA	 77.98	H            	1	34.46	 0.40	34.46	 0.40	       	 	     	     	     	     	     	    	02 08 30.9	+18 59 42	147.0591	-40.2378	320.1573	-11.4671	 5.6	 0.575	15.65	     	 5206	 5298	 5359	 4941	 5006	AGC120052 	      	  1	34.46	 0.40	 78.0	     	         	  1	   8171	147.06	-40.24	320.1573	-11.4671	     	      	    	      	 5206	 5298	 5359	 4941	 5006	    	         	         	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8171
    1220	   8173	LEDA	 83.18	H,I          	2	34.60	 0.30	34.52	 0.40	       	 	     	34.70	 0.45	     	     	    	02 08 32.4	+06 19 25	154.8946	-51.6986	307.8914	-15.7764	 1.1	 0.198	14.32	 9.87	 3415	 3469	 3519	 3147	 3174	UGC01636  	202241	  3	33.97	 0.21	 62.2	     	         	  2	   8173	154.87	-51.69	307.9114	-15.7637	10.86	  1.06	 113	 0.307	 3460	 3515	 3565	 3193	 3220	  91	         	    2.880	 149	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    8173
    1221	   8185	LEDA	 58.08	H,I          	2	33.82	 0.30	33.82	 0.40	       	 	     	33.82	 0.45	     	     	    	02 08 44.5	+38 46 38	139.0493	-21.6629	338.6083	 -3.8822	 4.4	 0.168	13.19	 9.49	 4265	 4407	 4479	 4031	 4074	UGC01633  	209266	  1	33.82	 0.30	 58.1	     	         	  1	   8185	139.05	-21.66	338.6084	 -3.8822	11.09	  1.12	 139	 0.376	 4265	 4407	 4479	 4031	 4074	   0	         	    5.307	 152	    	    	       	2044	  0	  0	  1	  0	  1	2M	LEDA    8185
